"exp_index","subject","scenario","person","responsibility_openness","responsibility_conscientiousness","responsibility_extraversion","responsibility_agreeableness","responsibility_neuroticism","openness","conscientiousness","extraversion","agreeableness","neuroticism","total_failed_attention_checks"
"exp2",1,14,1,61,100,12,0,17,40,60,80,20,80,0
"exp2",1,14,2,100,100,11,0,11,100,80,40,0,100,0
"exp2",1,14,3,88,78,49,0,7,80,60,100,100,80,0
"exp2",1,14,4,12,100,0,0,0,20,100,0,20,20,0
"exp2",1,14,5,100,10,3,0,9,100,20,20,0,60,0
"exp2",1,15,1,100,21,0,0,0,80,20,80,100,60,0
"exp2",1,15,2,75,97,0,25,11,20,40,0,60,60,0
"exp2",1,15,3,100,0,21,23,0,40,0,100,60,0,0
"exp2",1,15,4,30,100,10,0,0,20,80,60,20,80,0
"exp2",1,15,5,100,100,11,0,0,60,60,80,0,0,0
"exp2",1,16,1,20,0,49,58,12,60,60,80,0,40,0
"exp2",1,16,2,30,27,61,88,0,100,100,80,40,40,0
"exp2",1,16,3,100,40,25,0,31,20,20,80,100,20,0
"exp2",1,16,4,100,9,75,0,0,100,0,100,40,40,0
"exp2",1,16,5,40,49,60,0,30,20,20,60,0,60,0
"exp2",1,17,1,0,49,0,0,89,20,40,40,0,0,0
"exp2",1,17,2,0,39,0,0,100,20,40,40,20,40,0
"exp2",1,17,3,0,30,0,0,100,60,40,40,100,40,0
"exp2",1,17,4,0,30,0,0,100,0,60,60,40,80,0
"exp2",1,17,5,0,50,0,0,100,100,100,100,40,20,0
"exp2",1,18,1,100,41,0,0,100,80,80,40,60,80,0
"exp2",1,18,2,100,100,0,0,39,100,100,40,0,20,0
"exp2",1,18,3,100,100,0,0,0,100,100,80,80,0,0
"exp2",1,18,4,50,100,0,0,100,40,100,100,0,100,0
"exp2",1,18,5,28,100,0,0,100,20,80,40,20,80,0
"exp2",1,19,1,11,50,40,100,100,40,20,40,80,100,0
"exp2",1,19,2,0,90,45,100,89,100,80,40,100,60,0
"exp2",1,19,3,0,79,10,100,49,20,80,0,100,20,0
"exp2",1,19,4,7,79,30,20,89,40,80,100,0,80,0
"exp2",1,19,5,11,69,39,100,49,80,100,80,100,40,0
"exp2",1,20,1,0,49,0,0,100,20,40,20,60,40,0
"exp2",1,20,2,5,20,0,0,100,80,40,100,60,100,0
"exp2",1,20,3,0,79,0,0,100,0,100,60,20,40,0
"exp2",1,20,4,0,75,0,0,49,60,100,40,80,0,0
"exp2",1,20,5,0,79,0,0,100,40,60,100,20,40,0
"exp2",2,1,1,39,69,21,20,11,100,40,40,80,80,0
"exp2",2,1,2,67,68,38,21,12,80,80,20,100,60,0
"exp2",2,1,3,79,38,21,20,19,80,20,20,0,20,0
"exp2",2,1,4,40,79,12,10,10,20,100,0,0,20,0
"exp2",2,1,5,40,60,12,11,19,0,60,80,20,40,0
"exp2",2,2,1,59,37,68,59,49,20,60,60,60,60,0
"exp2",2,2,2,49,50,69,40,48,20,80,60,0,0,0
"exp2",2,2,3,60,31,40,60,49,60,0,0,20,80,0
"exp2",2,2,4,40,59,60,72,68,40,100,80,100,100,0
"exp2",2,2,5,60,65,79,58,28,60,80,100,60,20,0
"exp2",2,3,1,39,30,59,0,21,60,20,80,0,40,0
"exp2",2,3,2,59,21,30,9,48,100,20,20,20,100,0
"exp2",2,3,3,58,40,20,20,40,100,20,0,40,60,0
"exp2",2,3,4,50,69,49,21,50,60,80,100,60,60,0
"exp2",2,3,5,30,59,20,10,19,0,60,0,40,20,0
"exp2",2,4,1,69,59,40,0,0,40,60,0,0,80,0
"exp2",2,4,2,40,69,21,11,20,40,80,0,0,80,0
"exp2",2,4,3,60,2,79,31,21,100,20,100,40,40,0
"exp2",2,4,4,60,20,70,21,40,100,40,80,40,60,0
"exp2",2,4,5,10,59,51,20,39,0,80,60,40,40,0
"exp2",2,5,1,6,60,0,59,0,0,20,40,0,100,0
"exp2",2,5,2,0,69,22,39,5,0,60,40,20,20,0
"exp2",2,5,3,20,68,37,79,10,40,60,100,80,80,0
"exp2",2,5,4,32,72,31,40,11,100,60,100,0,80,0
"exp2",2,5,5,29,88,11,59,0,20,100,100,40,60,0
"exp2",2,6,1,40,29,49,30,11,40,40,80,80,60,0
"exp2",2,6,2,35,60,41,30,25,100,40,0,0,40,0
"exp2",2,6,3,19,67,56,36,12,0,80,100,0,0,0
"exp2",2,6,4,36,77,60,31,12,40,100,80,40,0,0
"exp2",2,6,5,58,32,31,50,29,60,0,20,80,80,0
"exp2",2,7,1,50,87,49,40,29,0,100,100,80,0,0
