"subject","trait","p_0","p_20","p_40","p_60","p_80","p_100"
13,"conscientiousness",0.0522388059701493,0.134328358208955,0.350746268656716,0.276119402985075,0.141791044776119,0.0447761194029851
13,"extraversion",0.0526315789473684,0.149122807017544,0.429824561403509,0.219298245614035,0.114035087719298,0.0350877192982456
13,"agreeableness",0.0338983050847458,0.161016949152542,0.372881355932203,0.245762711864407,0.144067796610169,0.0423728813559322
13,"neuroticism",0.144230769230769,0.211538461538462,0.355769230769231,0.173076923076923,0.0865384615384615,0.0288461538461538
14,"openness",0.0247524752475248,0.257425742574257,0.202970297029703,0.193069306930693,0.173267326732673,0.148514851485149
14,"conscientiousness",0.0323741007194245,0.0575539568345324,0.284172661870504,0.255395683453237,0.219424460431655,0.151079136690647
14,"extraversion",0.146579804560261,0.205211726384365,0.263843648208469,0.169381107491857,0.11400651465798,0.100977198697068
14,"agreeableness",0.0373563218390805,0.0689655172413793,0.232758620689655,0.204022988505747,0.232758620689655,0.224137931034483
14,"neuroticism",0.0689655172413793,0.112068965517241,0.146551724137931,0.155172413793103,0.275862068965517,0.241379310344828
15,"openness",0.0273972602739726,0.123287671232877,0.349315068493151,0.349315068493151,0.123287671232877,0.0273972602739726
15,"conscientiousness",0.024390243902439,0.130081300813008,0.308943089430894,0.317073170731707,0.146341463414634,0.0731707317073171
15,"extraversion",0.0347222222222222,0.159722222222222,0.361111111111111,0.326388888888889,0.0972222222222222,0.0208333333333333
15,"agreeableness",0.0649350649350649,0.155844155844156,0.253246753246753,0.279220779220779,0.155844155844156,0.0909090909090909
15,"neuroticism",0.0793650793650794,0.306878306878307,0.253968253968254,0.174603174603175,0.121693121693122,0.0634920634920635
16,"openness",0.124542124542125,0.183150183150183,0.117216117216117,0.168498168498169,0.175824175824176,0.230769230769231
16,"conscientiousness",0.17258883248731,0.203045685279188,0.147208121827411,0.137055837563452,0.137055837563452,0.203045685279188
16,"extraversion",0.12,0.0533333333333333,0,0.72,0,0.106666666666667
16,"agreeableness",0.1,0.533333333333333,0.0555555555555556,0.111111111111111,0.133333333333333,0.0666666666666667
16,"neuroticism",0.0707964601769911,0.513274336283186,0.0619469026548673,0.115044247787611,0.132743362831858,0.106194690265487
17,"openness",0.0972568578553616,0.144638403990025,0.182044887780549,0.184538653366584,0.206982543640898,0.184538653366584
17,"conscientiousness",0.152263374485597,0.141975308641975,0.172839506172839,0.176954732510288,0.183127572016461,0.172839506172839
17,"extraversion",0.109207708779443,0.156316916488223,0.179871520342612,0.182012847965739,0.188436830835118,0.184154175588865
17,"agreeableness",0.1417004048583,0.157894736842105,0.165991902834008,0.17004048582996,0.178137651821862,0.186234817813765
17,"neuroticism",0.131048387096774,0.157258064516129,0.169354838709677,0.175403225806452,0.181451612903226,0.185483870967742
18,"openness",0.146031746031746,0.203174603174603,0.152380952380952,0.187301587301587,0.165079365079365,0.146031746031746
18,"conscientiousness",0.199288256227758,0.149466192170818,0.106761565836299,0.138790035587189,0.195729537366548,0.209964412811388
18,"extraversion",0.127035830618893,0.192182410423453,0.195439739413681,0.127035830618893,0.169381107491857,0.188925081433225
18,"agreeableness",0.191358024691358,0.151234567901235,0.123456790123457,0.160493827160494,0.172839506172839,0.200617283950617
18,"neuroticism",0.117647058823529,0.133986928104575,0.183006535947712,0.205882352941176,0.215686274509804,0.143790849673203
19,"openness",0.119533527696793,0.183673469387755,0.12536443148688,0.14868804664723,0.19533527696793,0.227405247813411
19,"conscientiousness",0.092814371257485,0.188622754491018,0.122754491017964,0.18562874251497,0.206586826347305,0.203592814371257
19,"extraversion",0.124203821656051,0.111464968152866,0.21656050955414,0.159235668789809,0.191082802547771,0.197452229299363
19,"agreeableness",0.126027397260274,0.2,0.178082191780822,0.172602739726027,0.13972602739726,0.183561643835616
19,"neuroticism",0.258741258741259,0.153846153846154,0.13986013986014,0.202797202797203,0.0629370629370629,0.181818181818182
20,"openness",0.142857142857143,0.197278911564626,0.231292517006803,0.197278911564626,0.197278911564626,0.0340136054421769
20,"conscientiousness",0.13903743315508,0.160427807486631,0.117647058823529,0.0748663101604278,0.299465240641711,0.20855614973262
20,"extraversion",0.087248322147651,0.0402684563758389,0.228187919463087,0.402684563758389,0.214765100671141,0.0268456375838926
20,"agreeableness",0.094017094017094,0.0598290598290598,0.188034188034188,0.094017094017094,0.256410256410256,0.307692307692308
20,"neuroticism",0.0666666666666667,0.266666666666667,0.0666666666666667,0.35,0.216666666666667,0.0333333333333333
21,"openness",0.0389972144846797,0.0919220055710306,0.139275766016713,0.20891364902507,0.245125348189415,0.275766016713092
21,"conscientiousness",0.0249221183800623,0.0685358255451713,0.149532710280374,0.205607476635514,0.249221183800623,0.302180685358255
21,"extraversion",0.0230263157894737,0.0657894736842105,0.138157894736842,0.194078947368421,0.266447368421053,0.3125
21,"agreeableness",0.0327380952380952,0.0714285714285714,0.139880952380952,0.208333333333333,0.255952380952381,0.291666666666667
21,"neuroticism",0.0380116959064327,0.0789473684210526,0.14327485380117,0.207602339181287,0.260233918128655,0.271929824561404
22,"openness",0.16,0.24,0.333333333333333,0.186666666666667,0.0666666666666667,0.0133333333333333
